Date,month,year,X,site,Colpodida,Cyrtophorida,Gymnostomatida,Heterotrichida,Hymenostomatida,Hypotrichida,Oligotrichida,Peritrichida,Pleurostomatida,Prostomatida,Suctorida,TOTAL cells.L-¹
09-15-10,9,2010,52,T1,0,0,9077,0,29422,0,12833,0,0,939,0,52271
09-15-10,9,2010,53,T2,0,0,2817,0,33804,0,9703,0,0,939,0,47263
 09-29-10,9,2010,53,T2,0,0,2817,0,11268,0,12833,0,0,0,0,26918
09-29-10,9,2010,53,T3,313,0,939,0,10329,0,10016,0,0,0,0,21597
10-28-10,10,2010,54,T1,0,0,0,0,2556,0,12780,0,0,568,0,15904
10-28-10,10,2010,54,T2,0,0,313,0,5947,0,10016,0,0,1252,0,17528
10-28-10,10,2010,54,T3,0,0,0,0,9077,0,8451,0,0,626,0,18154
 11-11-10,11,2010,55,T1,0,0,6260,0,19406,0,9390,0,0,2504,0,37560
11/11/2010,11,2010,55,T2,0,0,5634,0,15650,0,6260,0,0,1565,0,29109
11/11/2010,11,2010,56,T3,0,0,5008,0,16589,0,6260,0,626,939,0,29422
1/12/2010,12,2010,56,T2,0,0,2191,0,10329,0,7825,0,0,3443,0,23788
1/12/2010,12,2010,56,T3,0,0,261,0,7830,0,5220,0,0,261,0,13572
,,,,,,,,,,,,,,,,
03/24/11,3,2011,57,T1,0,834,834,0,6672,0,9452,0,0,0,0,17792
03/24/11,3,2011,57,T2,0,0,556,0,1668,0,13900,0,0,834,0,16958
03/24/11,3,2011,57,T3,0,0,834,0,1390,0,9730,0,1390,278,0,13622
7/4/2011,4,2011,58,T1,0,0,556,0,12788,278,2224,278,0,0,0,16124
7/4/2011,4,2011,58,T2,0,0,556,0,10564,0,3336,0,0,0,0,14456
7/4/2011,4,2011,58,T3,0,0,0,0,11120,0,2780,0,0,0,0,13900
04/21/11,4,2011,59,T1,0,0,0,0,18626,0,75060,0,0,0,0,93686
04/21/11,4,2011,59,T2,0,0,0,0,9730,0,67276,0,0,278,0,77284
04/21/11,4,2011,59,T3,0,0,0,0,17514,0,64496,0,0,1668,0,83678
10/5/2011,5,2011,60,T1,0,0,1390,0,7228,0,13900,0,0,0,0,22518
10/5/2011,5,2011,60,T2,0,0,1946,0,12232,0,4726,0,0,0,0,18904
10/5/2011,5,2011,60,T3,0,0,0,0,4170,0,11954,0,0,0,0,16124
10/6/2011,6,2011,61,T1,0,0,834,0,6672,0,9730,0,0,0,0,17236
10/6/2011,6,2011,61,T2,0,0,0,0,5560,0,3892,0,0,0,0,9452
10/6/2011,6,2011,61,T3,0,0,0,0,8062,0,6950,0,0,0,0,15012
06/23/11,6,2011,62,T1,0,0,278,0,8618,0,3614,0,0,2780,0,15290
06/23/11,6,2011,62,T2,0,0,0,0,8340,0,1390,0,0,5004,0,14734
06/23/11,6,2011,62,T3,0,0,0,0,8062,0,5560,0,0,1946,0,15568
07/21/11,7,2011,63,T1,0,0,834,0,1112,0,834,0,0,0,0,2780
07/21/11,7,2011,63,T2,0,0,834,0,0,0,6950,0,0,0,0,7784
07/21/11,7,2011,63,T3,0,0,3058,0,7784,0,3892,556,0,0,0,15290
4/8/2011,8,2011,64,T1,0,0,0,0,14456,0,1112,0,0,0,0,15568
4/8/2011,8,2011,64,T2,0,0,1390,0,7228,0,8062,0,0,2780,0,19460
4/8/2011,8,2011,64,T3,0,0,2502,0,9174,0,6672,0,0,2502,0,20850
08/17/11,8,2011,65,T1,0,0,1668,0,11120,0,2224,0,0,0,0,15012
08/17/11,8,2011,65,T2,0,0,1946,0,11676,0,4726,1390,0,0,0,19738
08/17/11,8,2011,65,T3,0,0,834,0,14456,0,5282,0,0,0,0,20572
1/9/2011,9,2011,66,T1,0,0,0,0,11120,0,1390,278,0,0,0,12788
1/9/2011,9,2011,66,T2,0,0,556,0,8618,0,7228,278,0,0,0,16680
1/9/2011,9,2011,66,T3,0,0,1946,0,8062,0,5282,0,0,0,0,15290
09/15/11,9,2011,67,T1,0,0,1390,0,7506,0,13066,0,0,3892,0,25854
09/15/11,9,2011,67,T2,0,0,1112,0,3614,0,5004,0,0,3614,0,13344
09/15/11,9,2011,67,T3,0,0,0,0,11120,0,4170,0,0,1946,0,17236
09/29/11,9,2011,68,T1,0,0,0,0,3614,0,10286,0,0,0,0,13900
09/29/11,9,2011,68,T2,0,0,0,0,15568,0,1946,0,0,0,0,17514
09/29/11,9,2011,68,T3,0,0,278,0,18070,0,6116,0,0,0,0,24464
10/13/11,10,2011,69,T1,0,0,556,0,17792,0,4448,278,0,0,0,23074
10/13/11,10,2011,69,T2,0,0,556,0,16958,0,5282,0,0,0,0,22796
10/13/11,10,2011,69,T3,0,0,0,0,4448,0,9452,0,0,0,0,13900
10/27/11,10,2011,70,T1,0,0,0,0,834,0,14178,0,0,0,0,15012
10/27/11,10,2011,70,T2,0,0,0,0,2502,0,14178,556,0,0,0,17236
10/27/11,10,2011,70,T3,0,0,0,0,1390,0,20294,0,0,0,0,21684
11/11/2011,11,2011,71,T1,0,0,834,0,16680,0,4448,556,0,0,0,22518
11/11/2011,11,2011,71,T2,0,0,0,0,17236,0,4726,0,0,278,0,22240
11/11/2011,11,2011,71,T3,0,0,834,0,12510,278,5838,278,0,556,0,20294
2/12/2011,12,2011,72,T1,0,0,0,0,6394,0,8340,834,0,0,0,15568
2/12/2011,12,2011,72,T2,0,0,834,0,18904,0,10842,2224,0,0,0,32804
2/12/2011,12,2011,72,T3,0,0,0,0,7784,0,7784,556,0,0,0,16124
,,,,,,,,,,,,,,,,
7/1/2012,1,2012,73,T1,0,0,0,0,1668,0,14178,0,0,0,0,15846
7/1/2012,1,2012,73,T2,0,0,1946,0,3614,0,9452,0,0,2780,0,17792
7/1/2012,1,2012,73,T3,0,0,834,0,3614,0,6672,0,0,3614,0,14734
2/2/2012,2,2012,74,T1,0,0,0,0,3058,0,11954,0,0,0,0,15012
2/2/2012,2,2012,74,T2,0,0,278,0,278,0,1668,0,20850,0,0,23074
2/2/2012,2,2012,74,T3,0,0,0,0,834,0,3614,0,27244,0,0,31692
4/3/2012,3,2012,75,T1,0,0,0,0,556,0,16680,0,0,0,0,17236
4/3/2012,3,2012,75,T2,0,0,278,0,2502,0,5004,0,2502,0,0,10286
4/3/2012,3,2012,75,T3,0,0,1668,0,4170,0,6950,0,0,1390,0,14178
03/14/2012,3,2012,76,T1,0,0,0,0,0,0,19460,0,0,0,0,19460
03/14/2012,3,2012,76,T2,0,0,556,0,3336,0,18070,0,1390,0,0,23352
03/14/2012,3,2012,76,T3,0,0,278,0,1390,0,17236,0,0,556,0,19460
03/29/2012,3,2012,77,T1,0,0,0,0,556,0,21128,0,0,0,0,21684
03/29/2012,3,2012,77,T2,0,0,1946,0,2780,0,7784,0,9730,0,0,22240
03/29/2012,3,2012,77,T3,0,0,556,0,0,0,25298,0,22240,278,0,48372
12/4/2012,4,2012,78,T1,0,0,0,0,1390,0,9730,0,0,0,0,11120
12/4/2012,4,2012,78,T2,0,0,3058,0,278,0,20294,0,1112,556,0,25298
12/4/2012,4,2012,78,T3,0,0,2224,0,0,0,11398,0,0,1390,0,15012
04/25/2012,4,2012,79,T1,0,0,556,0,834,0,7228,0,0,0,0,8618
04/25/2012,4,2012,79,T2,0,0,3336,0,0,0,10008,0,0,1112,0,14456
04/25/2012,4,2012,79,T3,0,0,2780,0,1946,0,10286,1112,0,0,0,16124
10/5/2012,5,2012,80,T1,0,0,0,0,834,0,20850,0,0,0,0,21684
10/5/2012,5,2012,80,T2,0,0,0,0,2502,0,7784,0,2780,0,0,13066
10/5/2012,5,2012,80,T3,0,0,2224,0,834,0,10564,0,0,834,0,14456
05/23/2012,5,2012,81,T1,0,0,1390,0,4170,0,10842,0,0,0,0,16402
05/23/2012,5,2012,81,T2,0,0,556,0,10008,0,14178,0,2502,834,0,28078
05/23/2012,5,2012,81,T3,0,0,6116,0,0,0,28078,0,0,1668,0,35862
7/6/2012,6,2012,82,T1,0,0,1112,0,4448,0,6116,4726,0,0,0,16402
7/6/2012,6,2012,82,T2,0,0,2502,0,1946,0,3892,8340,0,11120,0,27800
7/6/2012,6,2012,82,T3,0,0,6394,0,278,0,9730,3336,0,33638,0,53376
06/20/2012,6,2012,83,T1,0,0,2780,0,2502,0,23630,0,0,7228,0,36140
06/20/2012,6,2012,83,T2,0,0,0,0,556,0,26410,0,0,2224,0,29190
06/20/2012,6,2012,83,T3,0,0,0,0,1112,0,8062,0,0,11676,0,20850
5/7/2012,7,2012,84,T1,0,0,8062,0,18626,0,3058,834,0,4726,0,35306
5/7/2012,7,2012,84,T2,0,0,278,0,1946,0,3892,0,0,11120,0,17236
5/7/2012,7,2012,84,T3,0,0,1390,0,0,0,6950,0,0,834,0,9174
07/18/2012,7,2012,85,T1,0,0,10564,0,12232,0,2780,0,0,3892,0,29468
07/18/2012,7,2012,85,T2,0,0,0,0,6950,0,7506,0,3336,0,0,17792
07/18/2012,7,2012,85,T3,0,0,834,0,1390,0,5560,0,0,24186,0,31970
1/8/2012,8,2012,86,T1,0,0,1668,0,13900,0,3058,556,0,0,0,19182
1/8/2012,8,2012,86,T2,0,0,2502,0,2224,0,4726,0,4726,834,0,15012
1/8/2012,8,2012,86,T3,0,0,0,0,1946,0,3058,0,0,3336,0,8340
08/18/2012,8,2012,87,T1,0,0,1668,0,11120,0,3058,278,0,0,0,16124
08/18/2012,8,2012,87,T2,0,0,0,0,7784,0,3892,0,556,556,0,12788
08/18/2012,8,2012,87,T3,0,0,278,0,1112,0,3336,0,0,16124,0,20850
08/30/2012,8,2012,88,T1,0,0,1668,0,13900,0,6116,0,0,1112,0,22796
08/30/2012,8,2012,88,T2,0,0,0,0,6116,0,11120,0,3336,1668,0,22240
08/30/2012,8,2012,88,T3,0,0,0,0,556,0,8340,0,0,18626,0,27522
12/9/2012,9,2012,89,T1,0,0,834,0,11676,0,6116,0,0,834,0,19460
12/9/2012,9,2012,89,T2,0,0,556,0,7506,0,5004,0,0,3336,0,16402
12/9/2012,9,2012,89,T3,0,0,834,0,3892,0,8618,0,0,6672,0,20016
09/27/2012,9,2012,90,T1,0,0,0,0,2224,0,25576,0,0,0,0,27800
09/27/2012,9,2012,90,T2,0,0,556,0,6116,0,8896,0,0,5004,0,20572
09/27/2012,9,2012,90,T3,0,0,0,0,4726,0,4726,0,0,1112,0,10564
12/10/2012,10,2012,91,T1,0,0,0,0,556,0,9174,0,0,0,0,9730
12/10/2012,10,2012,91,T2,0,0,834,0,3614,0,16124,0,0,3614,0,24186
12/10/2012,10,2012,91,T3,0,0,0,0,10008,0,4726,0,0,4448,0,19182
10/25/2012,10,2012,92,T1,0,0,0,0,0,0,20850,0,0,0,0,20850
8/11/2012,11,2012,93,T1,0,0,0,0,0,0,9452,0,0,0,0,9452
8/11/2012,11,2012,93,T2,0,0,1946,0,4170,0,2224,0,0,9730,0,18070
8/11/2012,11,2012,93,T3,0,0,1946,0,5838,0,1946,0,0,8896,0,18626
6/12/2012,12,2012,94,T1,0,0,5004,0,1112,0,7506,2502,0,0,0,16124
6/12/2012,12,2012,94,T2,0,0,4170,0,6950,0,3058,0,0,8618,0,22796
6/12/2012,12,2012,94,T3,0,0,1390,0,1390,0,5838,834,0,2224,0,11676
